,REE,removed REE,n,p05,p95,mean,SD,skewness,kurtosis
32,Gd,"Pr, Dy",13266,-6.395989312376516,6.59453597802131,-0.2332287706986226,4.046880239956547,0.3969283430631763,2.634390509513464
33,Gd,"Pr, Dy, Ho",13266,-6.35258733000226,6.446215975113584,-0.35732564872433364,3.9697357264106334,0.4611278748205122,2.638277580847059
34,Gd,"Pr, Dy, Ho, Er (INNA)",13266,-6.538157645368303,6.120800426733631,-0.593673230457701,3.949812410235184,0.5226873941411994,2.857886137230741
35,Tb,none,13266,-6.336170399055646,5.998012659510444,-0.030203181768000062,3.925556392834222,-0.030029335366635275,2.9050098901138917
36,Tb,Pr,13266,-6.217302593431583,5.838019330760269,-0.006974059088667392,3.8444485644766493,-0.09026135351034877,2.9336998118367204
37,Tb,"Pr, Dy",13266,-6.287217194228517,5.540901513351964,-0.18194037706059843,3.8086442736190844,-0.01738703625264011,2.8563649722642825
38,Tb,"Pr, Dy, Ho",13266,-6.426578857513729,5.280324740520548,-0.42466083597667487,3.7355561644272646,0.09531632690740692,2.8448381236450135
39,Tb,"Pr, Dy, Ho, Er (INNA)",13266,-6.7079304864214375,4.048739174686728,-1.1750647091342477,3.4373253826439214,0.28853166919414563,3.405071590759971
40,Dy,none,13266,-5.066226276222552,4.247777118816582,-0.6599670836793086,3.0205770928827267,0.40376306591035005,4.849013354717724
41,Dy,Pr,13266,-5.0062845805252385,4.237242383708861,-0.6461462654733173,3.0127047364913584,0.4035894363168969,4.7715156740376745
42,Dy,"Pr, Dy",13266,-6.3681676260696785,5.486067234862013,-0.8117030529941767,3.8656097841301538,0.48859964559173513,4.880567472109823
43,Dy,"Pr, Dy, Ho",13266,-7.361321014492467,6.027042507666247,-1.134919930492573,4.378241803499682,0.7360072400646778,5.327788081138889
44,Dy,"Pr, Dy, Ho, Er (INNA)",13266,-9.516938231069517,6.352800024712596,-2.328973323678314,5.113821644085123,0.8738769529435826,4.492238649334278
45,Ho,none,13266,-4.801274170880539,4.408826984137332,-0.6120371658147397,2.9708886035286435,0.7555364130689831,5.759725567486823
46,Ho,Pr,13266,-4.7912613173102105,4.40877521361383,-0.6155244767694559,2.975901775380338,0.7588542963326521,5.774032160110869
47,Ho,"Pr, Dy",13266,-5.149142312518004,4.444571576155948,-0.8029594071712641,3.0876565767394686,0.8601248904103742,5.640744426501703
48,Ho,"Pr, Dy, Ho",13266,-7.478942148157108,6.606597565583638,-1.1459242597973451,4.552322874677305,1.0085422610765538,6.058726212109637
49,Ho,"Pr, Dy, Ho, Er (INNA)",13266,-10.274972608836633,7.0284717551498845,-2.633551649942143,5.624097539837248,1.0544445494900874,4.871249133784105
50,Er,none,13266,-5.692836480046909,3.517148098364448,-1.3102471193406486,2.9917794498113386,0.3883998609010142,3.543195733681464
51,Er,Pr,13266,-5.655614286513452,3.4463982111129887,-1.3292179993598305,2.9413965444848413,0.4044843741892224,3.5992976253447644
52,Er,"Pr, Dy",13266,-5.762356842054597,3.2728315931518703,-1.4874002030863898,2.8938917897060636,0.5255999983676654,3.8473516994245323
53,Er,"Pr, Dy, Ho",13266,-6.083848177460736,3.075657052391778,-1.8626129225823258,2.9135179652185617,0.6236993739144835,2.996468935237883
54,Er,"Pr, Dy, Ho, Er (INNA)",13266,-10.915940524779364,5.784608587194273,-3.3207688837641087,5.324070385016948,0.8038525089646116,3.548310573407596
55,Tm,none,13266,-4.1233756893869575,8.987106459154642,2.735961926957511,4.215292082404063,-0.4731034031969251,2.701757987631918
56,Tm,Pr,13266,-4.160484321978658,8.964439333619739,2.7139763420263923,4.196624577554137,-0.45496750008874826,2.5920622095095576
57,Tm,"Pr, Dy",13266,-4.0391353503688805,8.666513001101162,2.6073174065053393,4.040403217988979,-0.4395162715430528,2.762929270571517
58,Tm,"Pr, Dy, Ho",13266,-3.656038167945033,7.973763654852862,2.3118071912796783,3.726013252360123,-0.36352894050898155,2.8858236578922387
59,Tm,"Pr, Dy, Ho, Er (INNA)",13266,-3.731556809590189,5.498825023089221,0.9942595075673603,2.9205789638010584,-0.18859199985053895,2.4848286205216015
60,Yb,none,13266,-4.262617616817776,6.176559502953888,1.0512018337104394,3.390200951478735,0.29979636462336934,3.5804177407534308
61,Yb,Pr,13266,-4.231458206068176,6.133747208697876,1.04261677044982,3.3756247924843223,0.3021917907630275,3.5911893438872484
62,Yb,"Pr, Dy",13266,-4.263888652118439,6.123163902780343,1.030789653308063,3.377178583232209,0.30361269553456993,3.5898413950275954
63,Yb,"Pr, Dy, Ho",13266,-4.335455641774342,6.053506637763134,0.9435313827114788,3.3432579199808554,0.2917253146690372,3.573664685807427
64,Yb,"Pr, Dy, Ho, Er (INNA)",13266,-5.153804683146124,5.695507987083248,0.37380856056597533,3.4469231070279873,0.3520537843959727,3.1906230601210845
65,Lu,none,13266,-5.098737110679849,2.1596265860496566,-1.416779156646488,2.3610614263549414,0.13900420170228436,4.007477867368512
66,Lu,Pr,13266,-4.97709455284159,2.0491102469677225,-1.3975810671120372,2.2842951322653464,0.13873911893334057,3.8864285183819165
67,Lu,"Pr, Dy",13266,-4.703031767687288,2.0477379415821337,-1.3076803346737766,2.188168585757326,0.12190330832807926,3.6637402652091904
68,Lu,"Pr, Dy, Ho",13266,-4.2715696508035,2.0208177808545336,-1.1322392322602988,2.0204868143411367,0.06969031333494409,3.4036564668977
69,Lu,"Pr, Dy, Ho, Er (INNA)",13266,-3.903177866892202,2.688364360784573,-0.6704565356354204,2.071495723708448,0.018041280014500848,2.4268942221933587
