sample,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,anomalies
KAK1979-010-015,1.5876800958912574,4.921318522127171,0.8710075425141395,4.975356703911755,1.8849950146960286,0.7561823270751158,2.756408337184686,0.5196632388552221,3.570421248460235,0.7981478960756164,2.3611392944714007,0.37454153881687785,2.433387704819673,0.36249631066135296,[]
KAK1979-010-016,1.794964231272085,5.461145230907182,0.9523861183673418,5.378640371943422,2.010810046915222,0.8037164865797061,2.921851632107903,0.5497979941764037,3.7722548743622735,0.8424368989825445,2.490144851426179,0.39470099353645305,2.562292623302955,0.38136733019024593,[]
KAK1979-010-017,1.5310540746642227,4.809040185428141,0.8577376861601449,4.916446889987675,1.8615100342798494,0.7456181560787176,2.713809371536451,0.5111552948439808,3.5126336955231046,0.7865233350833777,2.334039951871753,0.37190369810856644,2.4297477978255633,0.3642530578718678,[]
KAK1979-010-019,1.5719450167853135,4.750217756966188,0.8314852735651985,4.750996605913848,1.834376598726298,0.7447961791614319,2.7488625241680342,0.5242127741426302,3.6347157456949923,0.8167493723549107,2.4188083129911817,0.38263108993020783,2.470899068851508,0.364923229338,[]
KAK1979-010-020,1.5485698147072506,4.761108858138647,0.8400465838914148,4.802866410616428,1.834560797184443,0.7395976354503757,2.7097928513396727,0.5133465457175184,3.5413828898057402,0.7937713343566289,2.3510296777814492,0.37287207678404505,2.419202501760335,0.3595454425282901,[]
KAK1979-010-022,1.538420593324756,4.793358970399097,0.8514837517347835,4.8754219430483445,1.8502031423288083,0.7421833754889797,2.704309868513514,0.5095128592352872,3.4978748882293855,0.7813035295098472,2.3096341610031375,0.36615066131987095,2.3777751781634384,0.354098392746003,[]
KAK1979-010-023,1.5321493785448053,4.705268416389049,0.8290859985480106,4.733956352175496,1.805306382503536,0.7276733394802674,2.6668399478815905,0.5056279439104348,3.4932881638331543,0.784575672935187,2.329552521295288,0.37050819593141404,2.4111723886010656,0.35947244635361475,[]
KAK1979-010-024,1.576610224982248,4.880265860987096,0.8625605782438447,4.9206060733660015,1.8603430273989325,0.7457139213574104,2.716423416418407,0.5118427069516674,3.515233471842149,0.785617552705954,2.3238396773249472,0.3686331854209683,2.395286644832826,0.356887913512638,[]
KAK1979-010-025,1.5436747626218454,4.814426299512528,0.8560988521822607,4.90703471594309,1.8658160689471708,0.7490922233760939,2.73186502352749,0.5151569003409978,3.5397443838061404,0.7913008617853858,2.3409347016039805,0.37136391240278155,2.413091410569032,0.3595501378123583,[]
KAK1979-010-026,1.7226116010139743,5.316007803672601,0.9330612607140101,5.27100280078001,1.9518500183227792,0.775269109499397,2.8000880618927337,0.5237028416156451,3.575773289453338,0.7963219223954219,2.3523121630732233,0.37337206912281773,2.4314587425671688,0.3635261997412472,[]
KAK1979-010-034,1.9108287307230598,5.9800779671787305,1.06994129972963,6.181519244840512,2.386858365897014,0.9641909754999853,3.534733648269243,0.6691485929569655,4.607577296172871,1.0300277111899443,3.0413520568120456,0.4807643104846837,3.10885685558719,0.4605690903284632,[]
KAK1979-011-001,1.9428903695363806,5.769887796528588,0.9809557400332042,5.397594094516759,1.9282039569907732,0.7563573862429944,2.7011183257648015,0.49991112465169907,3.3787939382997556,0.7453672842952408,2.18197068465698,0.34331437175003177,2.216815588316479,0.3287437146518615,[]
KAK1979-011-085,1.875172733628856,5.531749227557232,0.9404986549369675,5.201491966482635,1.8889228610509305,0.747053424909223,2.6888315291284486,0.5009845886125146,3.4025557702323406,0.7522818282171835,2.201396356368889,0.3454298864800507,2.2200790530127255,0.3272175913478936,[]
